Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['Time', 'dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1249696016311646,0.05690615127484,0.0111573080842693,0.1045138090848922,0.2008315424124399,0.7921580076217651
"['Time', 'dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1270662546157837,0.057457897812128,0.0121504426933825,0.1076959371566772,0.2187079638242721,0.731231560309728
"['Time', 'BiomassEst', 'Induction', 'CumulativeAge', 'Protein']",1.1308687130610149,0.057927519083023,0.0150136669787267,0.1086033595105012,0.2702460115154584,0.5379574596881866
"['Time', 'CPR', 'Induction', 'miuSimp', 'Protein']",1.1289979219436646,0.058056262632211,0.0128854539555807,0.1031685136258602,0.2319381733735402,0.7615028520425161
"['Age', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'Protein']",1.1288323402404783,0.0583778967459996,0.012076451908797,0.1064514641960461,0.2173761328061421,0.7823417286078135
"['Time', 'Age', 'BiomassEst', 'Carbon_Feed', 'Induction', 'Protein']",1.1292327245076497,0.058493518580993,0.0122457199419538,0.1061575909455617,0.2204229533672332,0.757045159737269
"['dBiomassEst', 'CPR', 'Induction', 'miuSimp', 'Protein']",1.1285713116327922,0.0585331209003925,0.011505113604168,0.1049651826421419,0.2070920417706171,0.815850297609965
"['Time', 'BiomassEst', 'dCarbon_Feed', 'Induction', 'Protein']",1.1283254623413086,0.0586150139570236,0.0110954021414121,0.1053150395552317,0.199717233578364,0.8022279540697733
"['BiomassEst', 'CPR', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.134921391805013,0.0589255901674429,0.0170702449201295,0.1097214731077353,0.3072644198934237,0.4791477521260579
"['dBiomassEst', 'BioWeight', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.133037845293681,0.0590715569754441,0.0148947315756231,0.1081571554144223,0.2681051666537921,0.6622792184352875
"['BiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.1302619377772014,0.0591357412437597,0.0119903748854994,0.1083675076564153,0.2158267498016357,0.802522619565328
"['Time', 'Age', 'CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.1309703588485718,0.059655005733172,0.0116603250304857,0.1066047524412473,0.2098858455816904,0.7701225479443868
"['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Induction', 'Protein']",1.133261799812317,0.0603784571091334,0.0125048672780394,0.1091115251183509,0.2250876128673553,0.7656123638153076
"['dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.135635217030843,0.0606139109780391,0.0144073963165283,0.1105569961170355,0.2593331361810366,0.7144061625003815
"['Age', 'BioWeight', 'dCarbon_Feed', 'Induction', 'Protein']",1.1345802148183186,0.0609524771571159,0.0126752738530437,0.1119055574138959,0.2281549274921417,0.7994046608606974
"['Age', 'dBiomassEst', 'CPR', 'miuSimp', 'Protein']",1.1365116834640503,0.0609610341489315,0.0145895841221014,0.1100113044182459,0.2626125067472458,0.5838515162467957
"['dBiomassEst', 'CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.1362358331680298,0.0609704752763112,0.0142948978270093,0.1141357024510701,0.257308155298233,0.7064092556635538
"['BiomassEst', 'dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'Protein']",1.1361923615137737,0.0611577493449052,0.013876899300764,0.1122080708543459,0.2497841815153757,0.70572962363561
"['Age', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'CumulativeAge', 'Protein']",1.1352602243423462,0.0611596417923768,0.0129408938810229,0.107615552842617,0.2329360942045847,0.712152232726415
"['Age', 'BiomassEst', 'CPR', 'CumulativeAge', 'miuSimp', 'Protein']",1.1384072303771973,0.0615657698363065,0.0152756916359066,0.112703863531351,0.2749624488254388,0.6339938441912333
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'Protein']",1.1405205329259236,0.0617439299821853,0.0170326804897437,0.1137556843459606,0.3065882474184036,0.6456848680973053
"['Time', 'dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'Protein']",1.1375878651936848,0.0619398318231105,0.0137082021683454,0.1158034279942512,0.2467476427555084,0.7582340439160665
"['Time', 'BioWeight', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1381800572077434,0.0622162135938803,0.0137476412734637,0.111132467786471,0.2474575440088907,0.7455763220787048
"['Time', 'Age', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.1388243834177654,0.0627742633223533,0.0132758774173756,0.1129262124498685,0.2389657994111379,0.7598681052525839
"['Time', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.1395954688390095,0.0630252833167712,0.0135449222289025,0.112833005686601,0.2438086022933324,0.7898045182228088
"['Age', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.1388838291168213,0.0630287565290927,0.0128263101602594,0.1104842772086461,0.2308735797802607,0.8041346073150635
"['dBiomassEst', 'BioWeight', 'Induction', 'miuSimp', 'Protein']",1.1400715907414751,0.0631980213026205,0.0136755192652344,0.113227903842926,0.2461593449115753,0.7793812950452169
"['Age', 'dBiomassEst', 'dCarbon_Feed', 'Biomass0', 'miuSimp', 'Protein']",1.1431544224421184,0.0637308234969774,0.0156927024945616,0.1250892281532287,0.2824686368306477,0.665945827960968
"['Age', 'dBiomassEst', 'CPR', 'Induction', 'miuSimp', 'Protein']",1.141105016072591,0.063742467512687,0.013620068008701,0.1156090274453163,0.2451612253983815,0.7241371075312296
"['BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1425825357437134,0.0639762667318185,0.0146299856714904,0.1155030926068623,0.2633397430181503,0.6896264354387919
"['Time', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1423031489054365,0.0639879194398721,0.0143272336572408,0.1173960616191228,0.2578902145226796,0.776059110959371
"['dBiomassEst', 'BioWeight', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1439178387324016,0.0640202909708023,0.0158772701397538,0.1163591270645459,0.2857908656199773,0.766862670580546
"['dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'CumulativeAge', 'Protein']",1.1423056920369463,0.0641817922393481,0.0139420892422397,0.1158379316329956,0.2509575982888539,0.7734212875366211
"['CPR', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1434284845987956,0.0642103863259156,0.0150077384896576,0.1183207755287488,0.2701392918825149,0.7014999190966288
"['Time', 'Age', 'BiomassEst', 'Biomass0', 'Protein']",1.1435606479644775,0.0645593479275703,0.01444191345945,0.1131867530445257,0.2599544450640678,0.6714818378289541
"['Age', 'BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'CumulativeAge', 'Protein']",1.146544337272644,0.0647433611253897,0.0170576546806842,0.1208394144972165,0.3070377881328265,0.6650311350822449
"['BiomassEst', 'BioWeight', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1474213202794392,0.0649078885714213,0.0176055380143225,0.1232784589131673,0.3168996845682462,0.6039305528004965
"['Age', 'BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1469274759292605,0.0652242166300614,0.016479007123659,0.1180229907234509,0.2966221198439598,0.6580599149068197
"['Time', 'Age', 'Carbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.1580928564071655,0.0654871153334776,0.0271186002840598,0.1402870217959086,0.4881347840030988,-1.3967830538749697
"['Time', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'Protein']",1.14874005317688,0.0659497193992137,0.0168406936960915,0.1175715525945027,0.3031324769059817,0.6113119721412659
"['Age', 'CPR', 'Carbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.1612174113591511,0.0664788397649924,0.0282596805482171,0.133060485124588,0.5086742555722594,-1.4328963160514832
"['Time', 'Age', 'BiomassEst', 'Induction', 'miuSimp', 'Protein']",1.1483372847239175,0.066593882938226,0.015149537473917,0.1179660608371098,0.2726916670799255,0.7715634703636169
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1512943903605144,0.0666020202140013,0.0180904008448123,0.1241507579882939,0.3256272176901499,0.59749835729599
"['Time', 'BioWeight', 'Carbon_Feed', 'Biomass0', 'Protein']",1.1530328194300334,0.0666323353846867,0.0197681185478965,0.1326952800154686,0.355826124548912,-0.37875630458196
"['Time', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.1474114259084065,0.0666513219475746,0.0141087534526983,0.1182550564408302,0.2539575695991516,0.7785733540852865
"['CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.148754080136617,0.0667489990592002,0.0152560559411843,0.122754876812299,0.2746090044577916,0.7548877795537313
"['BiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.1595146258672078,0.0671456387887398,0.025223328731954,0.135207084318002,0.4540199091037114,0.3896746436754862
"['Time', 'Carbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'Protein']",1.16125750541687,0.0671627161403497,0.0269320324296131,0.1412344984710216,0.4847765875359376,-1.3694669405619304
"['dBiomassEst', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'miuSimp', 'Protein']",1.152423620223999,0.067673505594333,0.017076662586381,0.1233781750003496,0.3073799212773641,0.6387070417404175
"['Time', 'BioWeight', 'CPR', 'Carbon_Feed', 'Induction', 'Protein']",1.1510886351267495,0.0678521941105524,0.0153842512518167,0.1211646447579066,0.2769165237744649,0.7786320050557455
"['BiomassEst', 'dBiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.151355504989624,0.0680253046254317,0.0153048587962985,0.1219449614485104,0.2754874577124913,0.6665762960910797
"['BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'Protein']",1.1535180409749348,0.0681295605997244,0.0172589505091309,0.1263122508923212,0.3106611222028732,0.5360986093680064
"['Time', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Protein']",1.1579571167627971,0.0685893638680378,0.0207783952355384,0.1293874482313791,0.3740111192067464,0.5057361324628195
"['Time', 'BiomassEst', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1547281742095947,0.0686435413857301,0.0174410867815216,0.1267308394114176,0.3139395688970883,0.6715584496657053
"['BiomassEst', 'dBiomassEst', 'CPR', 'Biomass0', 'Induction', 'Protein']",1.16737699508667,0.0688340682536363,0.0297089198914666,0.1399869627008835,0.5347605779146155,-1.4340209762255351
"['Time', 'Age', 'CPR', 'CumulativeAge', 'miuSimp', 'Protein']",1.1531689167022705,0.0690035509566466,0.0151617582887411,0.1215670729676882,0.272911657889684,0.746454785267512
"['Time', 'BiomassEst', 'CPR', 'Induction', 'Protein']",1.1560745239257812,0.0691228831807772,0.0178287573313961,0.1211149170994758,0.3209176274637381,0.5471880038579305
"['Time', 'Age', 'BioWeight', 'CPR', 'Induction', 'Protein']",1.1540458997090657,0.0692048743367195,0.0156361637637019,0.1227708210547765,0.281450942158699,0.7281737228234609
"['dBiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.162322719891866,0.0699414759874343,0.0224397770750025,0.1330766156315803,0.4039159814516703,-0.1533574859301249
"['Time', 'CPR', 'Carbon_Feed', 'Biomass0', 'Protein']",1.173332929611206,0.0700908328096071,0.0331513194444899,0.1423980258405208,0.5967237347116073,-1.5135139028231304
"['BiomassEst', 'dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Protein']",1.1607667605082197,0.0701092928647995,0.0205481859544913,0.1261010554929574,0.3698673409720261,0.5370339155197144
"['Age', 'BiomassEst', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1634793281555176,0.070187360048294,0.0231045428663492,0.130011777083079,0.4158817827701568,0.3797757426897685
"['CPR', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1605809132258098,0.0703983313093582,0.0197843038477003,0.133773756523927,0.3561174695690473,0.6745695372422537
"['Time', 'BioWeight', 'CPR', 'Induction', 'Protein']",1.1567951440811155,0.0704038552939891,0.0159874064847826,0.1239754135409991,0.2877733210722605,0.6564799547195435
"['Time', 'Age', 'Carbon_Feed', 'Biomass0', 'Protein']",1.1738165219624836,0.0704276040196418,0.0329613340242455,0.1418801893790563,0.593304023767511,-1.5120994051297505
"['Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Protein']",1.1702242692311604,0.0705280490219593,0.0291681297433873,0.1470707034071286,0.5250263288617134,-1.4196947415669758
"['Age', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.161009430885315,0.0705416003863016,0.0199262366319696,0.1300978784759839,0.3586722662051518,0.4804836908976237
"['Time', 'Age', 'BioWeight', 'Carbon_Feed', 'Induction', 'Protein']",1.1593233744303386,0.070573349793752,0.0181766630460818,0.1308041935165723,0.3271799335877101,0.7431678374608358
"['Time', 'dBiomassEst', 'BioWeight', 'CPR', 'Protein']",1.159131368001302,0.0713136245807011,0.0165041740983724,0.127700629333655,0.2970751424630483,0.7329520781834921
"['BiomassEst', 'CPR', 'Carbon_Feed', 'miuSimp', 'Protein']",1.1616508563359578,0.0714386502901713,0.0187735939398407,0.130144735177358,0.3379246989885966,0.6219802697499593
"['Age', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1645758549372356,0.0719159319996833,0.0207439730875194,0.1361648042996724,0.3733915065725644,0.4435338377952575
"['Time', 'BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1620402733484905,0.0720177094141642,0.0180048743883768,0.1285710881153742,0.3240877389907837,0.6979866425196329
"['BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Biomass0', 'Protein']",1.1707265377044678,0.0724824486921231,0.0257616698897133,0.1388798753420511,0.4637100615849097,-0.8804116646448771
"['Age', 'CPR', 'CumulativeAge', 'miuSimp', 'Protein']",1.164558211962382,0.0726185391346613,0.0193211315199732,0.1294760505358378,0.3477803642551104,0.5245155692100525
"['Time', 'Age', 'BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1639371315638225,0.0726248125235239,0.0186875083794196,0.1339436074097951,0.3363751471042633,0.6931898991266886
"['Time', 'Age', 'CPR', 'Biomass0', 'Protein']",1.1792478958765666,0.0728747261067231,0.033498418633826,0.1466273926198482,0.6029715177913507,-1.5161693493525188
"['Time', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Protein']",1.1790988445281982,0.0728828931848208,0.0333330406962583,0.1478488718469937,0.5999947413802147,-1.5149267713228862
"['dBiomassEst', 'Biomass0', 'Induction', 'Protein']",1.1785813570022583,0.0732680652290582,0.0320452232069025,0.1448233077923456,0.5768140231569608,-1.305451512336731
"['BiomassEst', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Protein']",1.1803634564081829,0.073388564089934,0.0335863780540724,0.1482180257638295,0.6045548170804977,-1.516797701517741
"['Time', 'BiomassEst', 'Biomass0', 'CumulativeAge', 'Protein']",1.1790071328481038,0.0737428615490595,0.0315214050933718,0.1496998717387517,0.5673853121697903,-1.3441728750864663
"['Time', 'BiomassEst', 'CPR', 'Carbon_Feed', 'Induction', 'Protein']",1.1655640204747515,0.0739220504959424,0.01771984466662,0.1326570138335228,0.3189572095870971,0.6950441300868988
"['Age', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1715295712153118,0.0741567978014548,0.0232159950149556,0.1344721242785453,0.4178879000246525,0.5192890365918478
"['BiomassEst', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1708398660024006,0.0742636981109778,0.0223124859233697,0.1380569860339164,0.4016247391700744,0.4402784705162048
"['Age', 'Carbon_Feed', 'Biomass0', 'Protein']",1.182876745859782,0.0744069386273622,0.0340628899090612,0.1468992419540882,0.6131319974859556,-1.5203394691149394
"['Time', 'Age', 'BiomassEst', 'CPR', 'dCarbon_Feed', 'Protein']",1.1698097785313923,0.0746780807773272,0.020453672700872,0.1328344047069549,0.3681661163767178,0.5034622351328532
"['Age', 'BiomassEst', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Protein']",1.1701192061106365,0.0748594018320242,0.020400454600652,0.1344168012340863,0.3672081977128982,0.6011202335357666
